T_years,duration_hours,intensity_mm_per_hr
50,0.787042,126.0278
50,0.805303,123.9023
50,0.823987,121.8126
50,0.843105,119.7581
50,0.862666,117.7383
50,0.882681,115.7525
50,0.903161,113.8003
50,0.924115,111.8809
50,0.945556,109.994
50,0.967495,108.1388
50,0.989942,106.315
50,1.01291,104.5219
50,1.036411,102.759
50,1.060457,101.0259
50,1.085062,99.3221
50,1.110237,97.6469
50,1.135996,96.0
50,1.162353,94.3809
50,1.189321,92.7891
50,1.216915,91.2241
50,1.245149,89.6856
50,1.274038,88.1729
50,1.303598,86.6858
50,1.333843,85.2238
50,1.364791,83.7864
50,1.396456,82.3733
50,1.428856,80.984
50,1.462007,79.6182
50,1.495928,78.2753
50,1.530636,76.9552
50,1.566149,75.6572
50,1.602486,74.3812
50,1.639666,73.1267
50,1.677708,71.8934
50,1.716634,70.6808
50,1.756462,69.4888
50,1.797215,68.3168
50,1.838913,67.1646
50,1.881578,66.0318
50,1.925234,64.9181
50,1.969902,63.8232
50,2.015606,62.7468
50,2.062372,61.6885
50,2.110222,60.6481
50,2.159182,59.6252
50,2.209278,58.6196
50,2.260537,57.6309
50,2.312984,56.6589
50,2.366649,55.7033
50,2.421559,54.7638
50,2.477743,53.8402
50,2.53523,52.9321
50,2.594051,52.0394
50,2.654237,51.1617
50,2.715819,50.2988
50,2.77883,49.4505
50,2.843303,48.6165
50,2.909272,47.7965
50,2.976772,46.9904
50,3.045837,46.1979
50,3.116505,45.4187
50,3.188813,44.6527
50,3.262798,43.8996
50,3.338499,43.1592
50,3.415958,42.4312
50,3.495213,41.7156
50,3.576307,41.012
50,3.659283,40.3203
50,3.744183,39.6403
50,3.831054,38.9717
50,3.91994,38.3145
50,4.010889,37.6682
50,4.103947,37.0329
50,4.199165,36.4084
50,4.296592,35.7943
50,4.396279,35.1906
50,4.498279,34.5971
50,4.602646,34.0136
50,4.709434,33.4399
50,4.8187,32.8759
50,4.930501,32.3214
50,5.044896,31.7763
50,5.161945,31.2404
50,5.28171,30.7135
50,5.404254,30.1955
50,5.52964,29.6862
50,5.657936,29.1855
50,5.789209,28.6933
50,5.923527,28.2093
50,6.060961,27.7336
50,6.201585,27.2658
50,6.345471,26.806
50,6.492695,26.3539
50,6.643335,25.9094
50,6.797471,25.4724
50,6.955182,25.0428
50,7.116552,24.6204
50,7.281667,24.2052
50,7.450613,23.7969
50,7.623478,23.3956
50,7.800354,23.001
50,7.981334,22.6131
50,8.166512,22.2317
50,8.355988,21.8567
50,8.549859,21.4881
50,8.748228,21.1257
50,8.9512,20.7694
50,9.158881,20.4191
50,9.371381,20.0747
50,9.588811,19.7361
50,9.811286,19.4033
50,10.038922,19.076
50,10.27184,18.7543
50,10.510162,18.438
50,10.754013,18.127
50,11.003522,17.8213
50,11.258821,17.5207
50,11.520042,17.2252
50,11.787324,16.9347
50,12.060807,16.6491
50,12.340636,16.3683
50,12.626957,16.0922
50,12.919921,15.8208
50,13.219683,15.554
50,13.526399,15.2916
50,13.840231,15.0337
50,14.161345,14.7802
50,14.48991,14.5309
50,14.826097,14.2858
50,15.170085,14.0449
50,15.522053,13.808
50,15.882188,13.5751
50,16.250678,13.3462
50,16.627718,13.1211
50,17.013506,12.8998
50,17.408244,12.6822
50,17.812141,12.4683
50,18.22541,12.258
50,18.648266,12.0513
50,19.080934,11.848
50,19.52364,11.6482
50,19.976617,11.4517
50,20.440104,11.2586
50,20.914345,11.0687
50,21.399589,10.882
50,21.896091,10.6985
50,22.404113,10.5181
50,22.923922,10.3407
50,23.455791,10.1663
50,24.0,9.9948
100,0.25,355.8648
100,0.2558,349.8629
100,0.261735,343.9621
100,0.267808,338.1609
100,0.274022,332.4576
100,0.280379,326.8504
100,0.286884,321.3378
100,0.293541,315.9182
100,0.300351,310.59
100,0.30732,305.3516
100,0.31445,300.2016
100,0.321746,295.1385
100,0.329211,290.1608
100,0.336849,285.267
100,0.344664,280.4557
100,0.352661,275.7256
100,0.360843,271.0753
100,0.369215,266.5034
100,0.377782,262.0086
100,0.386547,257.5896
100,0.395515,253.2451
100,0.404692,248.9739
100,0.414081,244.7748
100,0.423689,240.6465
100,0.433519,236.5878
100,0.443577,232.5975
100,0.453869,228.6746
100,0.464399,224.8178
100,0.475174,221.0261
